# k [Mpc^{-1}]             T(k) [Mpc^3]  
  1.000000000000000E-006   1.00000000000000     
  1.028016298126473E-006   1.00000000000000     
  1.056817509213658E-006   1.00000000000000     
  1.086425623617065E-006   1.00000000000000     
  1.116863247780561E-006   1.00000000000000     
  1.148153621496882E-006   1.00000000000000     
  1.180320635651730E-006   1.00000000000000     
  1.213388850464976E-006   1.00000000000000     
  1.247383514242943E-006   1.00000000000000     
  1.282330582656020E-006   1.00000000000000     
  1.318256738556407E-006   1.00000000000000     
  1.355189412351035E-006   1.00000000000000     
  1.393156802945303E-006   1.00000000000000     
  1.432187899273542E-006   1.00000000000000     
  1.472312502432719E-006   1.00000000000000     
  1.513561248436207E-006   1.00000000000000     
  1.555965631605075E-006   1.00000000000000     
  1.599558028614668E-006   1.00000000000000     
  1.644371723214932E-006   1.00000000000000     
  1.690440931643263E-006   1.00000000000000     
  1.737800828749376E-006  0.999999880790710     
  1.786487574852050E-006  0.999999880790710     
  1.836538343348347E-006  0.999999880790710     
  1.887991349096293E-006  0.999999880790710     
  1.940885877592779E-006  0.999999880790710     
  1.995262314968879E-006  0.999999880790710     
  2.051162178825567E-006  0.999999880790710     
  2.108628149933289E-006  0.999999880790710     
  2.167704104819696E-006  0.999999880790710     
  2.228435149270303E-006  0.999999880790710     
  2.290867652767775E-006  0.999999880790710     
  2.355049283896009E-006  0.999999880790710     
  2.421029046736180E-006  0.999999880790710     
  2.488857318282390E-006  0.999999880790710     
  2.558585886905648E-006  0.999999880790710     
  2.630267991895382E-006  0.999999880790710     
  2.703958364108846E-006  0.999999880790710     
  2.779713267759289E-006  0.999999880790710     
  2.857590543374949E-006  0.999999880790710     
  2.937649651961530E-006  0.999999761581421     
  3.019951720402019E-006  0.999999761581421     
  3.104559588128356E-006  0.999999761581421     
  3.191537855100758E-006  0.999999761581421     
  3.280952931131190E-006  0.999999761581421     
  3.372873086588692E-006  0.999999761581421     
  3.467368504525317E-006  0.999999761581421     
  3.564511334262439E-006  0.999999761581421     
  3.664375746478333E-006  0.999999761581421     
  3.767037989839093E-006  0.999999761581421     
  3.872576449216173E-006  0.999999642372131     
  3.981071705534969E-006  0.999999642372131     
  4.092606597300109E-006  0.999999642372131     
  4.207266283844438E-006  0.999999642372131     
  4.325138310350089E-006  0.999999642372131     
  4.446312674691084E-006  0.999999642372131     
  4.570881896148752E-006  0.999999523162842     
  4.698941086052151E-006  0.999999523162842     
  4.830588020397729E-006  0.999999523162842     
  4.965923214503358E-006  0.999999523162842     
  5.105049999754065E-006  0.999999403953552     
  5.248074602497723E-006  0.999999403953552     
  5.395106225151279E-006  0.999999403953552     
  5.546257129579105E-006  0.999999403953552     
  5.701642722807478E-006  0.999999284744263     
  5.861381645140284E-006  0.999999284744263     
  6.025595860743581E-006  0.999999284744263     
  6.194410750767811E-006  0.999999165534973     
  6.367955209079162E-006  0.999999165534973     
  6.546361740672747E-006  0.999999165534973     
  6.729766562843182E-006  0.999999046325684     
  6.918309709189363E-006  0.999999046325684     
  7.112135136533296E-006  0.999998927116394     
  7.311390834834172E-006  0.999998927116394     
  7.516228940182061E-006  0.999998807907104     
  7.726805850957021E-006  0.999998807907104     
  7.943282347242822E-006  0.999998688697815     
  8.165823713585922E-006  0.999998569488525     
  8.394599865193982E-006  0.999998569488525     
  8.629785477669701E-006  0.999998450279236     
  8.871560120379617E-006  0.999998271465302     
  9.120108393559096E-006  0.999998271465302     
  9.375620069258793E-006  0.999998211860657     
  9.638290236239705E-006  0.999998092651367     
  9.908319448927686E-006  0.999997913837433     
  1.018591388054117E-005  0.999997854232788     
  1.047128548050899E-005  0.999997735023499     
  1.076465213629835E-005  0.999997615814209     
  1.106623783977668E-005  0.999997496604919     
  1.137627285823431E-005  0.999997377395630     
  1.169499391019870E-005  0.999997138977051     
  1.202264434617413E-005  0.999997019767761     
  1.235947433444512E-005  0.999996721744537     
  1.270574105208542E-005  0.999996662139893     
  1.306170888131840E-005  0.999996364116669     
  1.342764961137864E-005  0.999996304512024     
  1.380384264602887E-005  0.999996006488800     
  1.419057521689093E-005  0.999995827674866     
  1.458814260275347E-005  0.999995589256287     
  1.499684835502374E-005  0.999995291233063     
  1.541700452949559E-005  0.999995112419128     
  1.584893192461114E-005  0.999994754791260     
  1.629296032639722E-005  0.999994456768036     
  1.674942876026438E-005  0.999994099140167     
  1.721868574986006E-005  0.999993860721588     
  1.770108958317422E-005  0.999993562698364     
  1.819700858609983E-005  0.999993205070496     
  1.870682140365802E-005  0.999992668628693     
  1.923091728910158E-005  0.999992311000824     
  1.976969640111862E-005  0.999991834163666     
  2.032357010936221E-005  0.999991416931152     
  2.089296130854041E-005  0.999990880489349     
  2.147830474130533E-005  0.999990403652191     
  2.208004733018902E-005  0.999989807605743     
  2.269864851883821E-005  0.999989330768585     
  2.333458062281005E-005  0.999988734722137     
  2.398832919019490E-005  0.999987959861755     
  2.466039337234341E-005  0.999987423419952     
  2.535128630497907E-005  0.999986648559570     
  2.606153549998898E-005  0.999985814094543     
  2.679168324819031E-005  0.999985098838806     
  2.754228703338163E-005  0.999984264373779     
  2.831391995799379E-005  0.999983310699463     
  2.910717118066608E-005  0.999982357025146     
